,id,season,week,season_type,date,home_team,home_conference,home_score,away_team,away_conference,away_score,formatted_spread,home_spread,home_result,home_diff,away_spread,away_result,away_diff,covering_team,vegas_error,game_winner,favorite,underdog,within_td,correct_predict
75,401019475,2018,1,regular,2018-09-02,Hawai'i,Mountain West,59.0,Navy,American Athletic,41.0,Navy -13.5,13.5,-18.0,31.5,-13.5,18.0,-31.5,Hawai'i,31.5,Hawai'i,Navy,Hawai'i,Dog Cover by +7,No
76,401022515,2018,1,regular,2018-09-02,New Mexico,Mountain West,62.0,Incarnate Word,Southland,30.0,New Mexico -36,-36.0,-32.0,-4.0,36.0,32.0,4.0,Incarnate Word,4.0,New Mexico,New Mexico,Incarnate Word,Vegas Within 7,Yes
77,401022516,2018,1,regular,2018-09-02,Fresno State,Mountain West,79.0,Idaho,Big Sky,13.0,Fresno State -24.5,-24.5,-66.0,41.5,24.5,66.0,-41.5,Fresno State,41.5,Fresno State,Fresno State,Idaho,Fav Cover by +7,Yes
78,401079833,2018,1,regular,2018-09-02,East Carolina,American Athletic,23.0,North Carolina A&T,MEAC,28.0,East Carolina -13,-13.0,5.0,-18.0,13.0,-5.0,18.0,North Carolina A&T,18.0,North Carolina A&T,East Carolina,North Carolina A&T,Dog Cover by +7,No
79,401013096,2018,1,regular,2018-09-04,Florida State,ACC,3.0,Virginia Tech,ACC,24.0,Florida State -7,-7.0,21.0,-28.0,7.0,-21.0,28.0,Virginia Tech,28.0,Virginia Tech,Florida State,Virginia Tech,Dog Cover by +7,No
80,401012260,2018,2,regular,2018-09-08,Alabama,SEC,57.0,Arkansas State,Sun Belt,7.0,Alabama -37,-37.0,-50.0,13.0,37.0,50.0,-13.0,Alabama,13.0,Alabama,Alabama,Arkansas State,Fav Cover by +7,Yes
81,401012261,2018,2,regular,2018-09-08,Colorado State,Mountain West,34.0,Arkansas,SEC,27.0,Arkansas -14,14.0,-7.0,21.0,-14.0,7.0,-21.0,Colorado State,21.0,Colorado State,Arkansas,Colorado State,Dog Cover by +7,No
82,401012262,2018,2,regular,2018-09-08,Auburn,SEC,63.0,Alabama State,SWAC,9.0,Auburn -62,-62.0,-54.0,-8.0,62.0,54.0,8.0,Alabama State,8.0,Auburn,Auburn,Alabama State,Dog Cover by +7,Yes
83,401012263,2018,2,regular,2018-09-08,Florida,SEC,16.0,Kentucky,SEC,27.0,Florida -13.5,-13.5,11.0,-24.5,13.5,-11.0,24.5,Kentucky,24.5,Kentucky,Florida,Kentucky,Dog Cover by +7,No
84,401012264,2018,2,regular,2018-09-08,LSU,SEC,31.0,Southeastern Louisiana,Southland,0.0,LSU -42,-42.0,-31.0,-11.0,42.0,31.0,11.0,Southeastern Louisiana,11.0,LSU,LSU,Southeastern Louisiana,Dog Cover by +7,Yes
85,401012265,2018,2,regular,2018-09-08,Ole Miss,SEC,76.0,Southern Illinois,MVFC,41.0,Ole Miss -28,-28.0,-35.0,7.0,28.0,35.0,-7.0,Ole Miss,7.0,Ole Miss,Ole Miss,Southern Illinois,Vegas Within 7,Yes
86,401012266,2018,2,regular,2018-09-08,Kansas State,Big 12,10.0,Mississippi State,SEC,31.0,Mississippi State -7,7.0,21.0,-14.0,-7.0,-21.0,14.0,Mississippi State,14.0,Mississippi State,Mississippi State,Kansas State,Fav Cover by +7,Yes
87,401012267,2018,2,regular,2018-09-08,Missouri,SEC,40.0,Wyoming,Mountain West,13.0,Missouri -19.5,-19.5,-27.0,7.5,19.5,27.0,-7.5,Missouri,7.5,Missouri,Missouri,Wyoming,Fav Cover by +7,Yes
88,401012268,2018,2,regular,2018-09-08,South Carolina,SEC,17.0,Georgia,SEC,41.0,Georgia -9,9.0,24.0,-15.0,-9.0,-24.0,15.0,Georgia,15.0,Georgia,Georgia,South Carolina,Fav Cover by +7,Yes
89,401012269,2018,2,regular,2018-09-08,Tennessee,SEC,59.0,East Tennessee State,Southern,3.0,Tennessee -37,-37.0,-56.0,19.0,37.0,56.0,-19.0,Tennessee,19.0,Tennessee,Tennessee,East Tennessee State,Fav Cover by +7,Yes
90,401012270,2018,2,regular,2018-09-08,Texas A&M,SEC,26.0,Clemson,ACC,28.0,Clemson -12.5,12.5,2.0,10.5,-12.5,-2.0,-10.5,Texas A&M,10.5,Clemson,Clemson,Texas A&M,Dog Cover by +7,Yes
91,401012271,2018,2,regular,2018-09-08,Vanderbilt,SEC,41.0,Nevada,Mountain West,10.0,Vanderbilt -10,-10.0,-31.0,21.0,10.0,31.0,-21.0,Vanderbilt,21.0,Vanderbilt,Vanderbilt,Nevada,Fav Cover by +7,Yes
92,401012726,2018,2,regular,2018-09-08,Houston,American Athletic,45.0,Arizona,Pac-12,18.0,Houston -3.5,-3.5,-27.0,23.5,3.5,27.0,-23.5,Houston,23.5,Houston,Houston,Arizona,Fav Cover by +7,Yes
93,401012728,2018,2,regular,2018-09-08,Oklahoma,Big 12,49.0,UCLA,Pac-12,21.0,Oklahoma -31,-31.0,-28.0,-3.0,31.0,28.0,3.0,UCLA,3.0,Oklahoma,Oklahoma,UCLA,Vegas Within 7,Yes
94,401012729,2018,2,regular,2018-09-08,Nebraska,Big Ten,28.0,Colorado,Pac-12,33.0,Nebraska -3.5,-3.5,5.0,-8.5,3.5,-5.0,8.5,Colorado,8.5,Colorado,Nebraska,Colorado,Dog Cover by +7,No
95,401012730,2018,2,regular,2018-09-08,Northern Illinois,Mid-American,6.0,Utah,Pac-12,17.0,Utah -12,12.0,11.0,1.0,-12.0,-11.0,-1.0,Northern Illinois,1.0,Utah,Utah,Northern Illinois,Vegas Within 7,Yes
96,401012731,2018,2,regular,2018-09-08,Oregon,Pac-12,62.0,Portland State,Big Sky,14.0,Oregon -49.5,-49.5,-48.0,-1.5,49.5,48.0,1.5,Portland State,1.5,Oregon,Oregon,Portland State,Vegas Within 7,Yes
97,401012821,2018,2,regular,2018-09-08,Ohio State,Big Ten,52.0,Rutgers,Big Ten,3.0,Ohio State -35.5,-35.5,-49.0,13.5,35.5,49.0,-13.5,Ohio State,13.5,Ohio State,Ohio State,Rutgers,Fav Cover by +7,Yes
98,401012852,2018,2,regular,2018-09-08,Indiana,Big Ten,20.0,Virginia,ACC,16.0,Indiana -5,-5.0,-4.0,-1.0,5.0,4.0,1.0,Virginia,1.0,Indiana,Indiana,Virginia,Vegas Within 7,Yes
99,401012863,2018,2,regular,2018-09-08,Iowa,Big Ten,13.0,Iowa State,Big 12,3.0,Iowa -3.5,-3.5,-10.0,6.5,3.5,10.0,-6.5,Iowa,6.5,Iowa,Iowa,Iowa State,Vegas Within 7,Yes
